No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
18,S.T.7,S.U 3,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
19,S.T.7,S.U 3,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 1 "
1,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Biscione,1978, P: 136, Fig: 3-31, NO: 10 "
2,S.T.7,S.U 6,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
3,S.T.7,S.U 6,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 152, Fig: 204, NO: 5"
4,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997,P: 115, Fig: 142,NO: 1"
5,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Biscione,1978, P: 136, Fig: 3-31, NO: 10 "
6,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
7,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2 "
8,S.T.7,S.U 6,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
9,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 1 "
10,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
11,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 2 "
12,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1 "
13,S.T.7,S.U 6,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3/2 "
14,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
15,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
16,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
17,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 150, Fig: 200, NO: 4"
18,S.T.7,S.U 6,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
19,S.T.7,S.U 6,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixec,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 145, Fig: 188 NO: 6"
20,S.T.7,S.U 6,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixec,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 145, Fig: 188 NO: 6"
21,S.T.7,S.U 6,Body,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Sufficient,Good,,,,Outside,Mixec,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 145, Fig: 188 NO: 6"
1,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
2,S.T.7,S.U 8,Rim,Grey,Grey,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997,P: 115, Fig: 142,NO: 1"
3,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale.1997, P: 152, Fig: 204, NO: 5"
4,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale.1997,P: 115, Fig: 142,NO: 1"
5,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Biscione,1978, P: 136, Fig: 3-31, NO: 10 "
6,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
7,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2 "
8,S.T.7,S.U 8,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
9,S.T.7,S.U 8,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 1 "
10,S.T.7,S.U 8,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
11,S.T.7,S.U 8,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Herbal,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 145, Fig: 188 NO: 6"
12,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1 "
13,S.T.7,S.U 8,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3/2 "
14,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
15,S.T.7,S.U 8,Rim,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
16,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
17,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 150, Fig: 200, NO: 4"
18,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
19,S.T.7,S.U 8,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,,,,
1,S.T.7,S.U 9,Rim,Grey,Grey,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2"
2,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 3"
3,S.T.7,S.U 9,Rim,Buff,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Mixed,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 4"
4,S.T.7,S.U 9,Rim,Body,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Brown,,,,,,,
5,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
6,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 5"
7,S.T.7,S.U 9,Rim,Base,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 4"
8,S.T.7,S.U 9,Rim,Base,Red,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
9,S.T.7,S.U 9,Rim,Base,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
10,S.T.7,S.U 9,Rim,Base,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
11,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
12,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
13,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 5"
14,S.T.7,S.U 9,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
1,S.T.7,S.U 15,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1"
2,S.T.7,S.U 15,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
3,S.T.7,S.U 15,Rim,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2"
4,S.T.7,S.U 15,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 114, Fig: 141, NO: 1"
5,S.T.7,S.U 15,Body,Dark red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Red,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
1,S.T.7,S.U 17,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Mixed,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 140, Fig: 185, NO: 4"
2,S.T.7,S.U 17,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 140, Fig: 185, NO: 5"
3,S.T.7,S.U 17,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
4,S.T.7,S.U 17,Base,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
5,S.T.7,S.U 17,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,Sufficient,Medium,,,,Outside,Mixed,Brown,,,,,,,
1,S.T.7,S.U 18,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 124, Fig: 160"
2,S.T.7,S.U 18,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 124, Fig: 160"
3,S.T.7,S.U 18,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 2"
4,S.T.7,S.U 18,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,,,,
5,S.T.7,S.U 18,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,,,,
6,S.T.7,S.U 18,Body,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Red,,,,,,,
7,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
8,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Herbal,Brown,,,,Drawing,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 154, Fig: 208, NO: 2"
9,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
10,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
11,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
12,S.T.7,S.U 18,Base,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,,,,
13,S.T.7,S.U 18,Base,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 4"
14,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Mixed,Brown,,,,,,,
15,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Herbal,Brown,,,,,,,
16,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Herbal,Brown,,,,,,,
17,S.T.7,S.U 18,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,Outside,Herbal,Brown,,,,,,,
1,S.T.7,S.U 23,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 147, Fig: 194, NO: 4"
2,S.T.7,S.U 23,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 116, Fig: 144, NO: 1"
3,S.T.7,S.U 23,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside ,Geometric,Brown,Outside,Geometric,Brown,,,,,,,
4,S.T.7,S.U 23,Rim,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 2"
5,S.T.7,S.U 23,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
6,S.T.7,S.U 23,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Brown,,,,,,,
7,S.T.7,S.U 23,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 117, Fig: 146, NO: 4"
8,S.T.7,S.U 23,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
9,S.T.7,S.U 23,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 117, Fig: 146, NO: 4"
1,S.T.7,S.U 25,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3"
2,S.T.7,S.U 25,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
3,S.T.7,S.U 25,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
4,S.T.7,S.U 25,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 3"
5,S.T.7,S.U 25,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 113, Fig: 138, NO: 4"
6,S.T.7,S.U 25,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
7,S.T.7,S.U 25,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
8,S.T.7,S.U 25,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
1,S.T.7,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,,,,
2,S.T.7,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 3"
3,S.T.7,S.U 26,Base,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 3"
4,S.T.7,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 105, Fig: 122, NO: 2"
5,S.T.7,S.U 26,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 114, Fig: 141, NO: 1"
1,S.T.7,S.U 29,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 3"
2,S.T.7,S.U 29,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1"
1,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"alvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
2,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A,"alvatori, Vidale,1997, P: 115, Fig: 142, NO: 1"
3,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 116, Fig: 145, NO: 1"
4,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
5,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
6,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1"
7,S.T.7,S.U 32,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 113, Fig: 138, NO: 4"
8,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
9,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
10,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,,,,
11,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
12,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5"
13,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
14,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
15,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
16,S.T.7,S.U 32,Body,Dark Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
17,S.T.7,S.U 32,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Multi color,,,,,,,
18,S.T.7,S.U 32,Body,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Combined ,Brown,,,,,,,
19,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
20,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
21,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
22,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
23,S.T.7,S.U 32,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,Outside,Potter's mark,,,,
24,S.T.7,S.U 32,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
